Disease,Method,K,Precision,Recall,F1
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,25,0.8,0.003930817610062893,0.007823195775474282
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,50,0.72,0.007075471698113208,0.014013234721681589
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,100,0.75,0.01474056603773585,0.02891287586738627
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,200,0.71,0.02790880503144654,0.05370650529500756
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,500,0.638,0.06269654088050315,0.1141732283464567
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,750,0.6173333333333333,0.09099842767295598,0.15861596437136005
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,1000,0.588,0.11556603773584906,0.19316688567674115
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,1500,0.5466666666666666,0.1611635220125786,0.24893746205221612
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,2000,0.5175,0.2034198113207547,0.29204288939051914
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,2500,0.496,0.24371069182389937,0.32683183974696894
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,3000,0.487,0.28714622641509435,0.3612759643916914
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,25,0.8,0.003930817610062893,0.007823195775474282
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,50,0.72,0.007075471698113208,0.014013234721681589
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,100,0.75,0.01474056603773585,0.02891287586738627
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,200,0.715,0.028105345911949686,0.05408472012102875
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,500,0.644,0.06328616352201258,0.11524695776664282
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,750,0.6173333333333333,0.09099842767295598,0.15861596437136005
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,1000,0.588,0.11556603773584906,0.19316688567674115
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,1500,0.5466666666666666,0.1611635220125786,0.24893746205221612
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,2000,0.519,0.20400943396226415,0.2928893905191874
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,2500,0.4976,0.24449685534591195,0.3278861360042172
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,3000,0.493,0.29068396226415094,0.36572700296735905
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,25,0.88,0.004323899371069182,0.00860551535302171
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,50,0.78,0.0076650943396226415,0.015181004281821722
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,100,0.72,0.014150943396226415,0.027756360832690823
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,200,0.7,0.027515723270440252,0.0529500756429652
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,500,0.612,0.060141509433962265,0.10952040085898354
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,750,0.5853333333333334,0.0862814465408805,0.15039397053785541
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,1000,0.516,0.10141509433962265,0.1695137976346912
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,1500,0.5113333333333333,0.15074685534591195,0.23284760170006072
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,2000,0.527,0.20715408805031446,0.2974040632054176
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,2500,0.5108,0.25098270440251574,0.33658408012651553
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,3000,0.49366666666666664,0.2910770440251572,0.36622156280909995
C0006142_Malignant_neoplasm_of_breast,MCL,25,0.44,0.002161949685534591,0.004302757676510855
C0006142_Malignant_neoplasm_of_breast,MCL,50,0.42,0.004127358490566038,0.008174386920980926
C0006142_Malignant_neoplasm_of_breast,MCL,100,0.43,0.00845125786163522,0.016576715497301466
C0006142_Malignant_neoplasm_of_breast,MCL,200,0.5,0.019654088050314465,0.037821482602118005
C0006142_Malignant_neoplasm_of_breast,MCL,500,0.48,0.04716981132075472,0.08589835361488905
C0006142_Malignant_neoplasm_of_breast,MCL,750,0.468,0.06898584905660378,0.12024665981500512
C0006142_Malignant_neoplasm_of_breast,MCL,1000,0.434,0.08529874213836477,0.14257555847568987
C0006142_Malignant_neoplasm_of_breast,MCL,1500,0.418,0.12323113207547169,0.1903460837887067
C0006142_Malignant_neoplasm_of_breast,MCL,2000,0.408,0.16037735849056603,0.23024830699774265
C0006142_Malignant_neoplasm_of_breast,MCL,2500,0.396,0.1945754716981132,0.26093832366895103
C0006142_Malignant_neoplasm_of_breast,MCL,3000,0.37533333333333335,0.22130503144654087,0.27843719090009894
C0006142_Malignant_neoplasm_of_breast,RWR,25,0.76,0.0037342767295597485,0.007432035986700568
C0006142_Malignant_neoplasm_of_breast,RWR,50,0.62,0.006092767295597485,0.012066952121448035
C0006142_Malignant_neoplasm_of_breast,RWR,100,0.46,0.009040880503144654,0.017733230531996918
C0006142_Malignant_neoplasm_of_breast,RWR,200,0.5,0.019654088050314465,0.037821482602118005
C0006142_Malignant_neoplasm_of_breast,RWR,500,0.464,0.04559748427672956,0.08303507516105942
C0006142_Malignant_neoplasm_of_breast,RWR,750,0.508,0.07488207547169812,0.13052415210688592
C0006142_Malignant_neoplasm_of_breast,RWR,1000,0.504,0.09905660377358491,0.16557161629434955
C0006142_Malignant_neoplasm_of_breast,RWR,1500,0.4706666666666667,0.13875786163522014,0.2143290831815422
C0006142_Malignant_neoplasm_of_breast,RWR,2000,0.4725,0.1857311320754717,0.26664785553047404
C0006142_Malignant_neoplasm_of_breast,RWR,2500,0.4388,0.2156053459119497,0.28914074855034266
C0006142_Malignant_neoplasm_of_breast,RWR,3000,0.4103333333333333,0.24194182389937108,0.3044015825914936
C0006142_Malignant_neoplasm_of_breast,XG-PUL,25,1.0,0.004913522012578616,0.00977899471934285
C0006142_Malignant_neoplasm_of_breast,XG-PUL,50,1.0,0.009827044025157232,0.019462826002335537
C0006142_Malignant_neoplasm_of_breast,XG-PUL,100,1.0,0.019654088050314465,0.03855050115651503
C0006142_Malignant_neoplasm_of_breast,XG-PUL,200,1.0,0.03930817610062893,0.07564296520423601
C0006142_Malignant_neoplasm_of_breast,XG-PUL,500,0.988,0.09709119496855347,0.17680744452397995
C0006142_Malignant_neoplasm_of_breast,XG-PUL,750,0.9573333333333334,0.14111635220125787,0.2459746488523467
C0006142_Malignant_neoplasm_of_breast,XG-PUL,1000,0.923,0.1814072327044025,0.3032194480946124
C0006142_Malignant_neoplasm_of_breast,XG-PUL,1500,0.8533333333333334,0.25157232704402516,0.3885853066180935
C0006142_Malignant_neoplasm_of_breast,XG-PUL,2000,0.7975,0.31348270440251574,0.45005643340857787
C0006142_Malignant_neoplasm_of_breast,XG-PUL,2500,0.7568,0.3718553459119497,0.49868212967843967
C0006142_Malignant_neoplasm_of_breast,XG-PUL,3000,0.7096666666666667,0.418435534591195,0.5264589515331355
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,25,0.68,0.004174852652259332,0.008298755186721992
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,50,0.72,0.008840864440078585,0.017467248908296942
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,100,0.66,0.016208251473477406,0.03163950143815916
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,200,0.645,0.03167976424361493,0.060393258426966294
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,500,0.574,0.07048133595284872,0.12554680664916884
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,750,0.5453333333333333,0.10044204322200392,0.1696391538780589
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,1000,0.51,0.12524557956777996,0.20110410094637224
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,1500,0.47333333333333333,0.1743614931237721,0.25484565685570715
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,2000,0.436,0.21414538310412573,0.2872200263504611
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,2500,0.4172,0.256139489194499,0.31740718198417534
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,3000,0.406,0.29911591355599215,0.3444570135746607
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,25,0.68,0.004174852652259332,0.008298755186721992
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,50,0.72,0.008840864440078585,0.017467248908296942
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,100,0.65,0.015962671905697445,0.0311601150527325
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,200,0.645,0.03167976424361493,0.060393258426966294
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,500,0.578,0.07097249508840864,0.126421697287839
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,750,0.5493333333333333,0.10117878192534381,0.1708834508502696
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,1000,0.511,0.12549115913555992,0.20149842271293372
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,1500,0.4706666666666667,0.17337917485265225,0.25340990667623836
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,2000,0.44,0.21611001964636542,0.2898550724637681
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,2500,0.4164,0.2556483300589391,0.31679853925745594
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,3000,0.4043333333333333,0.29788801571709234,0.34304298642533937
C0009402_Colorectal_Carcinoma,DIAMOnD,25,0.6,0.0036836935166994107,0.00732243104710764
C0009402_Colorectal_Carcinoma,DIAMOnD,50,0.76,0.009332023575638507,0.018437651625424552
C0009402_Colorectal_Carcinoma,DIAMOnD,100,0.78,0.019155206286836934,0.037392138063279
C0009402_Colorectal_Carcinoma,DIAMOnD,200,0.75,0.03683693516699411,0.0702247191011236
C0009402_Colorectal_Carcinoma,DIAMOnD,500,0.576,0.07072691552062868,0.12598425196850394
C0009402_Colorectal_Carcinoma,DIAMOnD,750,0.4826666666666667,0.08889980353634577,0.15014516798009125
C0009402_Colorectal_Carcinoma,DIAMOnD,1000,0.45,0.11051080550098231,0.17744479495268137
C0009402_Colorectal_Carcinoma,DIAMOnD,1500,0.408,0.15029469548133595,0.21966977745872218
C0009402_Colorectal_Carcinoma,DIAMOnD,2000,0.376,0.18467583497053044,0.2476943346508564
C0009402_Colorectal_Carcinoma,DIAMOnD,2500,0.354,0.21733791748526524,0.26932440657334145
C0009402_Colorectal_Carcinoma,DIAMOnD,3000,0.3456666666666667,0.2546660117878193,0.2932692307692307
C0009402_Colorectal_Carcinoma,MCL,25,0.4,0.002455795677799607,0.004881620698071759
C0009402_Colorectal_Carcinoma,MCL,50,0.34,0.004174852652259332,0.008248423095584668
C0009402_Colorectal_Carcinoma,MCL,100,0.34,0.008349705304518664,0.016299137104506232
C0009402_Colorectal_Carcinoma,MCL,200,0.4,0.019646365422396856,0.037453183520599245
