Disease,Method,AUC,ROC_AUC,PR_AUC,F1@500
C0006142_Malignant_neoplasm_of_breast,XGDAG - GNNExplainer,0.6367004331495784,0.6367004331495784,0.5423817172094664,0.1141732283464567
C0006142_Malignant_neoplasm_of_breast,XGDAG - GraphSVX,0.6386113823601441,0.6386113823601441,0.5442383531972814,0.11524695776664282
C0006142_Malignant_neoplasm_of_breast,DIAMOnD,0.5995106540532273,0.5995106540532273,0.5209113333160099,0.10952040085898354
C0006142_Malignant_neoplasm_of_breast,MCL,0.6367755909179447,0.6367755909179447,0.41773898151622285,0.08589835361488905
C0006142_Malignant_neoplasm_of_breast,RWR,0.616530698049614,0.616530698049614,0.37153750692654963,0.08303507516105942
C0006142_Malignant_neoplasm_of_breast,XG-PUL,0.7839088460829606,0.7839088460829606,0.6521561011489758,0.17680744452397995
C0009402_Colorectal_Carcinoma,XGDAG - GNNExplainer,0.6226896263803182,0.6226896263803182,0.44809989292492336,0.12554680664916884
C0009402_Colorectal_Carcinoma,XGDAG - GraphSVX,0.6228327880771767,0.6228327880771767,0.4482065974186323,0.126421697287839
C0009402_Colorectal_Carcinoma,DIAMOnD,0.5791031557643704,0.5791031557643704,0.4410344461011415,0.12598425196850394
C0009402_Colorectal_Carcinoma,MCL,0.6407790743893234,0.6407790743893234,0.34291443200136085,0.09011373578302713
C0009402_Colorectal_Carcinoma,RWR,0.6120953718071712,0.6120953718071712,0.3033928533856148,0.09098862642169729
C0009402_Colorectal_Carcinoma,XG-PUL,0.7519653411216957,0.7519653411216957,0.5292645524617493,0.18460192475940507
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,0.6365804975415024,0.6365804975415024,0.015357754791525477,0.03395585738539899
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,0.6438342826542037,0.6438342826542037,0.015860463268405907,0.037351443123938885
C0023893_Liver_Cirrhosis,DIAMOnD,0.1900121802679659,0.1900121802679659,0.001458966988045303,0.0
C0023893_Liver_Cirrhosis,MCL,0.5238255033557047,0.5238255033557047,0.011446869926786141,0.013582342954159592
C0023893_Liver_Cirrhosis,RWR,0.5624318347112345,0.5624318347112345,0.008243003299604819,0.03056027164685908
C0023893_Liver_Cirrhosis,XG-PUL,0.8303305663624334,0.8303305663624334,0.07345630743179454,0.09507640067911716
C0036341_Schizophrenia,XGDAG - GNNExplainer,0.5980516179731441,0.5980516179731441,0.17605589146016043,0.10031631269769543
C0036341_Schizophrenia,XGDAG - GraphSVX,0.5996664312818216,0.5996664312818216,0.17696580202022372,0.10122006326253954
C0036341_Schizophrenia,DIAMOnD,0.5615268467295802,0.5615268467295802,0.19907913368718183,0.10122006326253954
C0036341_Schizophrenia,MCL,0.6255876068376068,0.6255876068376068,0.22308883909852223,0.04699502937189335
C0036341_Schizophrenia,RWR,0.573888522223452,0.573888522223452,0.11446683104807845,0.054225033890646174
C0036341_Schizophrenia,XG-PUL,0.7077059506445101,0.7077059506445101,0.2730272939520402,0.21780388612742885
C0376358_Malignant_neoplasm_of_prostate,XGDAG - GNNExplainer,0.6750751310154476,0.6750751310154476,0.4347013139033873,0.1375387797311272
C0376358_Malignant_neoplasm_of_prostate,XGDAG - GraphSVX,0.6776163546858591,0.6776163546858591,0.4371701628189291,0.1375387797311272
C0376358_Malignant_neoplasm_of_prostate,DIAMOnD,0.568880184027768,0.568880184027768,0.40156168853735874,0.1065149948293692
C0376358_Malignant_neoplasm_of_prostate,MCL,0.6609876661707539,0.6609876661707539,0.36210837188334233,0.07755946225439506
C0376358_Malignant_neoplasm_of_prostate,RWR,0.6094875786280152,0.6094875786280152,0.25582734523484646,0.08686659772492245
C0376358_Malignant_neoplasm_of_prostate,XG-PUL,0.7542910754032686,0.7542910754032686,0.5010498798732747,0.21871768355739402
C0001973_Chronic_Alcoholic_Intoxication,XGDAG - GNNExplainer,0.5422890397672163,0.5422890397672163,0.02823381955653908,0.04871794871794872
C0001973_Chronic_Alcoholic_Intoxication,XGDAG - GraphSVX,0.5443937924345297,0.5443937924345297,0.028090615387540676,0.04358974358974359
C0001973_Chronic_Alcoholic_Intoxication,DIAMOnD,0.657210401891253,0.657210401891253,0.04645191348104459,0.04615384615384615
C0001973_Chronic_Alcoholic_Intoxication,MCL,0.4765432098765432,0.4765432098765432,0.016422637187447034,0.01794871794871795
C0001973_Chronic_Alcoholic_Intoxication,RWR,0.5406313622921342,0.5406313622921342,0.01927872272944895,0.03333333333333333
C0001973_Chronic_Alcoholic_Intoxication,XG-PUL,0.644120597224441,0.644120597224441,0.03677755823918702,0.06410256410256411
C0011581_Depressive_disorder,XGDAG - GNNExplainer,0.5953662822633595,0.5953662822633595,0.15239210264239922,0.10199556541019957
C0011581_Depressive_disorder,XGDAG - GraphSVX,0.5978556085570559,0.5978556085570559,0.15401324050142673,0.10199556541019957
C0011581_Depressive_disorder,DIAMOnD,0.5974941451990632,0.5974941451990632,0.21074650513186644,0.09201773835920177
C0011581_Depressive_disorder,MCL,0.5750622840151088,0.5750622840151088,0.09009195047498808,0.047671840354767174
C0011581_Depressive_disorder,RWR,0.5760207342928517,0.5760207342928517,0.08906094590099399,0.06541019955654102
C0011581_Depressive_disorder,XG-PUL,0.6751799250727055,0.6751799250727055,0.17364619079976146,0.16740576496674056
C0860207_Drug-Induced_Liver_Disease,XGDAG - GNNExplainer,0.5709779284559217,0.5709779284559217,0.02761499355926704,0.03815580286168521
C0860207_Drug-Induced_Liver_Disease,XGDAG - GraphSVX,0.5752248827023778,0.5752248827023778,0.027880579156057288,0.03815580286168521
C0860207_Drug-Induced_Liver_Disease,DIAMOnD,0.4373873873873874,0.4373873873873874,0.009366645184886571,0.01589825119236884
C0860207_Drug-Induced_Liver_Disease,MCL,0.5940946282461758,0.5940946282461758,0.014558328867193193,0.025437201907790145
